"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "SVG", "JavaScript JSX", "HTML", "comment", "blank", "total"
"d:\WEB Projects\chessverse\client\package-lock.json", "JSON", 0, -16638, 0, 0, 0, 0, 0, 0, 0, 0, -1, -16639
"d:\WEB Projects\chessverse\client\package.json", "JSON", 0, -57, 0, 0, 0, 0, 0, 0, 0, 0, -1, -58
"d:\WEB Projects\chessverse\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, -1, -15
"d:\WEB Projects\chessverse\client\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, -2, -9
"d:\WEB Projects\chessverse\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, -5, -42
"d:\WEB Projects\chessverse\client\src\api\server.js", "JavaScript", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -15
"d:\WEB Projects\chessverse\client\src\assets\home\computer.f36f0d84.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"d:\WEB Projects\chessverse\client\src\assets\home\handshake.8c90be47.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"d:\WEB Projects\chessverse\client\src\assets\home\playwhite.cea685ba.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"d:\WEB Projects\chessverse\client\src\assets\home\puzzles.8f98f891.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"d:\WEB Projects\chessverse\client\src\assets\home\review.b44ad9a4.svg", "SVG", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"d:\WEB Projects\chessverse\client\src\assets\socials\apple.d77d954d.svg", "SVG", 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -6
"d:\WEB Projects\chessverse\client\src\assets\socials\facebook-button.2cbe7756.svg", "SVG", 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -6
"d:\WEB Projects\chessverse\client\src\assets\socials\google.d19562c0.svg", "SVG", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -9
"d:\WEB Projects\chessverse\client\src\components\AppLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -3, -15
"d:\WEB Projects\chessverse\client\src\components\FooterComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -3, -42
"d:\WEB Projects\chessverse\client\src\components\ForgotPasswordComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -58, 0, 0, 0, 0, -1, -4, -63
"d:\WEB Projects\chessverse\client\src\components\HomeComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -246, 0, 0, 0, 0, -11, -8, -265
"d:\WEB Projects\chessverse\client\src\components\LoaderComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, -3, -14
"d:\WEB Projects\chessverse\client\src\components\LobbyComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -233, 0, 0, 0, 0, 0, -3, -236
"d:\WEB Projects\chessverse\client\src\components\LoginComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -160, 0, 0, 0, 0, -14, -8, -182
"d:\WEB Projects\chessverse\client\src\components\MissingComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, -3, -20
"d:\WEB Projects\chessverse\client\src\components\PersistLogin.tsx", "TypeScript JSX", 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, -6, -36
"d:\WEB Projects\chessverse\client\src\components\PlayComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -3, -8
"d:\WEB Projects\chessverse\client\src\components\PuzzlesContainerComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -132, 0, 0, 0, 0, -1, -5, -138
"d:\WEB Projects\chessverse\client\src\components\RegisterComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -125, 0, 0, 0, 0, 0, -7, -132
"d:\WEB Projects\chessverse\client\src\components\RequireAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, -5, -39
"d:\WEB Projects\chessverse\client\src\components\SettingsComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -3, -8
"d:\WEB Projects\chessverse\client\src\components\SidebarComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -208, 0, 0, 0, 0, -10, -6, -224
"d:\WEB Projects\chessverse\client\src\components\UploadProfilePicture.tsx", "TypeScript JSX", 0, 0, 0, 0, -84, 0, 0, 0, 0, 0, -9, -93
"d:\WEB Projects\chessverse\client\src\components\UserProfileComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -424, 0, 0, 0, 0, -14, -4, -442
"d:\WEB Projects\chessverse\client\src\components\gameComponent\GameBoardComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -100, 0, 0, 0, 0, -5, -7, -112
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\BlackPlayerInfoComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -61, 0, 0, 0, 0, -15, -5, -81
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\BlackPlayerTimer.tsx", "TypeScript JSX", 0, 0, 0, 0, -59, 0, 0, 0, 0, 0, -10, -69
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\BoardComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -402, 0, 0, 0, 0, -34, -22, -458
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\BoardComponentPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, -41, 0, 0, 0, 0, -25, -4, -70
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\BoardTestingInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, -95, 0, 0, 0, 0, -2, -8, -105
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\CellComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -47, 0, 0, 0, 0, -1, -4, -52
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\GameResult.tsx", "TypeScript JSX", 0, 0, 0, 0, -77, 0, 0, 0, 0, -1, -6, -84
"d:\WEB Projects\chessverse\client\src\components\gameComponent\components\HistoryComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, -76, 0, 0, 0, 0, -7, -9, -92
